header,organism,mol_type,isolate,isolation_source,host,geo_loc_name,collection_date
KY241749.1,Zika virus,genomic RNA,ZIKV-SG-079,,Homo sapiens,Singapore,28-Aug-2016
KY241748.1,Zika virus,genomic RNA,ZIKV-SG-078,,Homo sapiens,Singapore,28-Aug-2016
KY241747.1,Zika virus,genomic RNA,ZIKV-SG-077,,Homo sapiens,Singapore,28-Aug-2016
KY241746.1,Zika virus,genomic RNA,ZIKV-SG-076,,Homo sapiens,Singapore,28-Aug-2016
KY241745.1,Zika virus,genomic RNA,ZIKV-SG-075,,Homo sapiens,Singapore,30-Aug-2016
KY241744.1,Zika virus,genomic RNA,ZIKV-SG-074,,Homo sapiens,Singapore,28-Aug-2016
KY241743.1,Zika virus,genomic RNA,ZIKV-SG-073,,Homo sapiens,Singapore,26-Aug-2016
KY241742.1,Zika virus,genomic RNA,ZIKV-SG-072,,Homo sapiens,Singapore,28-Aug-2016
KY241741.1,Zika virus,genomic RNA,ZIKV-SG-071,,Homo sapiens,Singapore,28-Aug-2016
KY241740.1,Zika virus,genomic RNA,ZIKV-SG-070,,Homo sapiens,Singapore,29-Aug-2016
KY241739.1,Zika virus,genomic RNA,ZIKV-SG-069,,Homo sapiens,Singapore,28-Aug-2016
KY241738.1,Zika virus,genomic RNA,ZIKV-SG-068,,Homo sapiens,Singapore,30-Aug-2016
KY241737.1,Zika virus,genomic RNA,ZIKV-SG-067,,Homo sapiens,Singapore,28-Aug-2016
KY241736.1,Zika virus,genomic RNA,ZIKV-SG-066,,Homo sapiens,Singapore,29-Aug-2016
KY241735.1,Zika virus,genomic RNA,ZIKV-SG-065,,Homo sapiens,Singapore,27-Aug-2016
KY241734.1,Zika virus,genomic RNA,ZIKV-SG-064,,Homo sapiens,Singapore,28-Aug-2016
KY241733.1,Zika virus,genomic RNA,ZIKV-SG-063,,Homo sapiens,Singapore,28-Aug-2016
KY241732.1,Zika virus,genomic RNA,ZIKV-SG-062,,Homo sapiens,Singapore,27-Aug-2016
KY241731.1,Zika virus,genomic RNA,ZIKV-SG-061,,Homo sapiens,Singapore,30-Aug-2016
KY241730.1,Zika virus,genomic RNA,ZIKV-SG-060,,Homo sapiens,Singapore,27-Aug-2016
KY241729.1,Zika virus,genomic RNA,ZIKV-SG-059,,Homo sapiens,Singapore,29-Aug-2016
KY241728.1,Zika virus,genomic RNA,ZIKV-SG-058,,Homo sapiens,Singapore,29-Aug-2016
KY241727.1,Zika virus,genomic RNA,ZIKV-SG-057,,Homo sapiens,Singapore,28-Aug-2016
KY241726.1,Zika virus,genomic RNA,ZIKV-SG-056,,Homo sapiens,Singapore,28-Aug-2016
KY241725.1,Zika virus,genomic RNA,ZIKV-SG-055,,Homo sapiens,Singapore,26-Aug-2016
KY241724.1,Zika virus,genomic RNA,ZIKV-SG-054,,Homo sapiens,Singapore,28-Aug-2016
KY241723.1,Zika virus,genomic RNA,ZIKV-SG-053,,Homo sapiens,Singapore,27-Aug-2016
KY241722.1,Zika virus,genomic RNA,ZIKV-SG-052,,Homo sapiens,Singapore,28-Aug-2016
KY241721.1,Zika virus,genomic RNA,ZIKV-SG-051,,Homo sapiens,Singapore,28-Aug-2016
KY241720.1,Zika virus,genomic RNA,ZIKV-SG-050,,Homo sapiens,Singapore,29-Aug-2016
KY241719.1,Zika virus,genomic RNA,ZIKV-SG-049,,Homo sapiens,Singapore,29-Aug-2016
KY241718.1,Zika virus,genomic RNA,ZIKV-SG-048,,Homo sapiens,Singapore,29-Aug-2016
KY241717.1,Zika virus,genomic RNA,ZIKV-SG-047,,Homo sapiens,Singapore,29-Aug-2016
KY241716.1,Zika virus,genomic RNA,ZIKV-SG-046,,Homo sapiens,Singapore,28-Aug-2016
KY241715.1,Zika virus,genomic RNA,ZIKV-SG-045,,Homo sapiens,Singapore,28-Aug-2016
KY241714.1,Zika virus,genomic RNA,ZIKV-SG-044,,Homo sapiens,Singapore,28-Aug-2016
KY241713.1,Zika virus,genomic RNA,ZIKV-SG-043,,Homo sapiens,Singapore,28-Aug-2016
KY241712.1,Zika virus,genomic RNA,ZIKV-SG-042,,Homo sapiens,Singapore,30-Aug-2016
KY241711.1,Zika virus,genomic RNA,ZIKV-SG-041,,Homo sapiens,Singapore,29-Aug-2016
KY241710.1,Zika virus,genomic RNA,ZIKV-SG-040,,Homo sapiens,Singapore,27-Aug-2016
KY241709.1,Zika virus,genomic RNA,ZIKV-SG-039,,Homo sapiens,Singapore,28-Aug-2016
KY241708.1,Zika virus,genomic RNA,ZIKV-SG-038,,Homo sapiens,Singapore,28-Aug-2016
KY241707.1,Zika virus,genomic RNA,ZIKV-SG-037,,Homo sapiens,Singapore,28-Aug-2016
KY241706.1,Zika virus,genomic RNA,ZIKV-SG-036,,Homo sapiens,Singapore,28-Aug-2016
KY241705.1,Zika virus,genomic RNA,ZIKV-SG-035,,Homo sapiens,Singapore,30-Aug-2016
KY241704.1,Zika virus,genomic RNA,ZIKV-SG-034,,Homo sapiens,Singapore,27-Aug-2016
KY241703.1,Zika virus,genomic RNA,ZIKV-SG-033,,Homo sapiens,Singapore,29-Aug-2016
KY241702.1,Zika virus,genomic RNA,ZIKV-SG-032,,Homo sapiens,Singapore,27-Aug-2016
KY241701.1,Zika virus,genomic RNA,ZIKV-SG-031,,Homo sapiens,Singapore,27-Aug-2016
KY241700.1,Zika virus,genomic RNA,ZIKV-SG-030,,Homo sapiens,Singapore,27-Aug-2016
KY241699.1,Zika virus,genomic RNA,ZIKV-SG-029,,Homo sapiens,Singapore,30-Aug-2016
KY241698.1,Zika virus,genomic RNA,ZIKV-SG-028,,Homo sapiens,Singapore,26-Aug-2016
KY241697.1,Zika virus,genomic RNA,ZIKV-SG-027,,Homo sapiens,Singapore,27-Aug-2016
KY241696.1,Zika virus,genomic RNA,ZIKV-SG-026,,Homo sapiens,Singapore,30-Aug-2016
KY241695.1,Zika virus,genomic RNA,ZIKV-SG-025,,Homo sapiens,Singapore,20-Sep-2016
KY241694.1,Zika virus,genomic RNA,ZIKV-SG-024,,Homo sapiens,Singapore,19-Sep-2016
KY241693.1,Zika virus,genomic RNA,ZIKV-SG-023,,Homo sapiens,Singapore,15-Sep-2016
KY241692.1,Zika virus,genomic RNA,ZIKV-SG-022,,Homo sapiens,Singapore,14-Sep-2016
KY241691.1,Zika virus,genomic RNA,ZIKV-SG-021,,Homo sapiens,Singapore,13-Sep-2016
KY241690.1,Zika virus,genomic RNA,ZIKV-SG-020,,Homo sapiens,Singapore,13-Sep-2016
KY241689.1,Zika virus,genomic RNA,ZIKV-SG-019,,Homo sapiens,Singapore,13-Sep-2016
KY241688.1,Zika virus,genomic RNA,ZIKV-SG-018,,Homo sapiens,Singapore,13-Sep-2016
KY241687.1,Zika virus,genomic RNA,ZIKV-SG-017,,Homo sapiens,Singapore,13-Sep-2016
KY241686.1,Zika virus,genomic RNA,ZIKV-SG-016,,Homo sapiens,Singapore,12-Sep-2016
KY241685.1,Zika virus,genomic RNA,ZIKV-SG-015,,Homo sapiens,Singapore,12-Sep-2016
KY241684.1,Zika virus,genomic RNA,ZIKV-SG-014,,Homo sapiens,Singapore,08-Sep-2016
KY241683.1,Zika virus,genomic RNA,ZIKV-SG-013,,Homo sapiens,Singapore,08-Sep-2016
KY241682.1,Zika virus,genomic RNA,ZIKV-SG-012,,Homo sapiens,Singapore,08-Sep-2016
KY241681.1,Zika virus,genomic RNA,ZIKV-SG-011,,Homo sapiens,Singapore,08-Sep-2016
KY241680.1,Zika virus,genomic RNA,ZIKV-SG-010,,Homo sapiens,Singapore,07-Sep-2016
KY241679.1,Zika virus,genomic RNA,ZIKV-SG-009,,Homo sapiens,Singapore,07-Sep-2016
KY241678.1,Zika virus,genomic RNA,ZIKV-SG-008,,Homo sapiens,Singapore,07-Sep-2016
KY241677.1,Zika virus,genomic RNA,ZIKV-SG-007,,Homo sapiens,Singapore,07-Sep-2016
KY241676.1,Zika virus,genomic RNA,ZIKV-SG-006,,Homo sapiens,Singapore,06-Sep-2016
KY241675.1,Zika virus,genomic RNA,ZIKV-SG-005,,Homo sapiens,Singapore,06-Sep-2016
KY241674.1,Zika virus,genomic RNA,ZIKV-SG-004,,Homo sapiens,Singapore,05-Sep-2016
KY241673.1,Zika virus,genomic RNA,ZIKV-SG-003,,Homo sapiens,Singapore,04-Sep-2016
KY241671.1,Zika virus,genomic RNA,ZIKV-SG-001,,Homo sapiens,Singapore,04-Sep-2016
MF036115.1,Zika virus,genomic RNA,,serum,Homo sapiens,China,02-Nov-2016
KY989971.1,Zika virus,genomic RNA,FLA,serum,Homo sapiens,Colombia,Dec-2015
KY967711.1,Zika virus,genomic RNA,SY01_2016,serum,Homo sapiens,China,01-Nov-2016
KX051562.1,Zika virus,genomic RNA,SV0010/15,,Homo sapiens,Thailand,16-Jan-2015
KX051561.1,Zika virus,genomic RNA,SK403/13AS,,Homo sapiens,Thailand,21-Sep-2013
KX051560.1,Zika virus,genomic RNA,SK364/13AS,,Homo sapiens,Thailand,09-Jul-2013
KY927808.1,Zika virus,genomic RNA,HNZZ 2016,,Homo sapiens,China: Henan,Sep-2016
KY648934.1,Zika virus,genomic RNA,,,Aedes aegypti,Mexico: Chiapas,2016
KX013000.1,Zika virus,genomic RNA,ZJ04,,Homo sapiens,China,17-Feb-2016
KU997667.1,Zika virus,genomic RNA,ZJ01,,Homo sapiens,China,16-Feb-2016
KX806557.3,Zika virus,genomic RNA,TS17-2016,serum,Homo sapiens,Australia,Feb-2016
KY765327.1,Zika virus,genomic RNA,,,Homo sapiens; M; 11 years,Nicaragua: Managua,22-Apr-2016
KY765326.1,Zika virus,genomic RNA,,,Homo sapiens; M; 8 years,Nicaragua: Managua,30-Jun-2016
KY765325.1,Zika virus,genomic RNA,,,Homo sapiens; M; 11 years,Nicaragua: Managua,22-Apr-2016
KY765324.1,Zika virus,genomic RNA,,,Homo sapiens; F; 2 years,Nicaragua: Managua,07-Jul-2016
KY765323.1,Zika virus,genomic RNA,,,Homo sapiens; M; 8 years,Nicaragua: Managua,30-Jun-2016
KY765322.1,Zika virus,genomic RNA,,,Homo sapiens; M; 6 years,Nicaragua: Managua,29-Jun-2016
KY765321.1,Zika virus,genomic RNA,,,Homo sapiens; F; 11 years,Nicaragua: Managua,10-Jul-2016
KY765320.1,Zika virus,genomic RNA,,,Homo sapiens; M; 8 years,Nicaragua: Managua,29-May-2016
KY765318.1,Zika virus,genomic RNA,,,Homo sapiens; F; 11 years,Nicaragua: Managua,10-Jul-2016
KY765317.1,Zika virus,genomic RNA,,,Homo sapiens; M; 6 years,Nicaragua: Managua,29-Jun-2016
KU926309.2,Zika virus,genomic RNA,Rio-U1,urine,Homo sapiens,Brazil,14-Jan-2016
KU926310.2,Zika virus,genomic RNA,Rio-S1,saliva,Homo sapiens,Brazil,29-Jan-2016
KY631494.1,Zika virus,genomic RNA,MEX_ENCB165P4,serum,Homo sapiens,"Mexico: Tapachula, Chiapas",15-Oct-2015
KY631493.1,Zika virus,genomic RNA,MEX_ENCB165,serum,Homo sapiens,"Mexico: Tapachula, Chiapas",15-Oct-2015
KY693680.1,Zika virus,genomic RNA,,,Homo sapiens,Venezuela,19-Oct-2016
KY693679.1,Zika virus,genomic RNA,,,Homo sapiens,Peru,11-Jul-2016
KY693678.1,Zika virus,genomic RNA,,,Homo sapiens,Peru,28-Jun-2016
KY693677.1,Zika virus,genomic RNA,,,Homo sapiens,Honduras,26-Aug-2016
KY693676.1,Zika virus,genomic RNA,,,Homo sapiens,Honduras,26-Aug-2016
KX830930.1,Zika virus,genomic RNA,ZIKV-GB-BR,,Homo sapiens,Brazil,01-Mar-2016
KX601166.2,Zika virus,genomic RNA,,,Aedes africanus,Senegal: Kedougou,17-Nov-1984
KX827268.1,Zika virus,genomic RNA,UT-1,serum,Homo sapiens,USA,01-Jan-2016
KY606274.1,Zika virus,genomic RNA,mex39/Mexico/2016,,Homo sapiens,Mexico: Guerrero,07-Jul-2016
KY606273.1,Zika virus,genomic RNA,mex48/Mexico/2016,,Homo sapiens,Mexico: Guerrero,30-Jun-2016
KY606272.1,Zika virus,genomic RNA,mex07/Mexico/2016,,Homo sapiens,Mexico: Oaxaca,05-Aug-2016
KY328289.1,Zika virus,genomic RNA,HN16,serum,Homo sapiens,Honduras,May-2016
KX421195.1,Zika virus,genomic RNA,Nica1-16,,Homo sapiens,Nicaragua,19-Jan-2016
KX421194.1,Zika virus,genomic RNA,Nica2-16,,Homo sapiens,Nicaragua,13-Jan-2016
KY120349.2,Zika virus,genomic RNA,CIENI551,serum,"Homo sapiens; male, 80-years-old","Mexico: Oaxaca, Tehuantepec Isthmus",03-Mar-2016
KY120348.1,Zika virus,genomic RNA,CIENI551,,Homo sapiens; male 80-years-old,"Mexico: Oaxaca, Tehuantepec Isthmus",03-Mar-2016
KX197192.1,Zika virus,genomic RNA,ZIKV/H.sapiens/Brazil/PE243/2015,serum,Homo sapiens,Brazil,2015
KY272991.1,Zika virus,genomic RNA,RIO-BM1,breast milk,Homo sapiens,Brazil,12-Feb-2016
KU761561.1,Zika virus,genomic RNA,ZJ02,,Homo sapiens,China,Feb-2016
KU761560.1,Zika virus,genomic RNA,ZJ03,,Homo sapiens,China,Feb-2016
KY288905.1,Zika virus,genomic RNA,,,Aedes africanus,Uganda,Nov-1962
KY348860.1,Zika virus,genomic RNA,A1C1/V5,,Aedes africanus,Senegal: Kedougou,17-Nov-1984
KY328290.1,Zika virus,viral cRNA,ZK-YN001,,Homo sapiens,China,03-Nov-2016
KY272987.1,Zika virus,genomic RNA,SI-BKK01,urine,Homo sapiens,Thailand,30-Aug-2016
KX694534.2,Zika virus,genomic RNA,,,Homo sapiens,Honduras,06-Jan-2015
KX694533.2,Zika virus,genomic RNA,,,Aedes sp.,Malaysia,14-Jul-1966
KX694532.2,Zika virus,genomic RNA,,,Homo sapiens; female,Thailand,12-Feb-2013
KX446951.2,Zika virus,genomic RNA,,,Aedes sp.,Mexico: Chiapas,01-Jan-2016
KX446950.2,Zika virus,genomic RNA,,,Aedes sp.,Mexico: Chiapas,01-Jan-2016
KX198135.2,Zika virus,genomic RNA,,,Homo sapiens,Panama,2016
KX198134.2,Zika virus,genomic RNA,A1C1/V2,,Aedes africanus,Senegal: Kedougou,17-Nov-1984
KX156776.2,Zika virus,genomic RNA,,,Homo sapiens,Panama,18-Dec-2015
KX156775.2,Zika virus,genomic RNA,,,Homo sapiens,Panama,11-Dec-2015
KX156774.2,Zika virus,genomic RNA,,,Homo sapiens,Panama,18-Dec-2015
KX087102.2,Zika virus,genomic RNA,C1/C2,,Homo sapiens,Colombia: Barranquilla,Dec-2015
KX087101.3,Zika virus,genomic RNA,V3/V2,,Homo sapiens,Puerto Rico,Dec-2015
KU963574.2,Zika virus,genomic RNA,ZIKV/Homo sapiens/NGA/IbH-30656_SM21V1-V3/1968,,Homo sapiens,Nigeria: Ibadan,09-Sep-1968
KU963573.2,Zika virus,genomic RNA,ZIKV/Macaca mulatta/UGA/MR-766_SM150-V8/1947,,Macaca mulatta,Uganda: Entebbe,20-Apr-1947
KY003154.1,Zika virus,viral cRNA,,cell culture,Homo sapiens,Italy,Apr-2016
KY003153.1,Zika virus,viral cRNA,,semen,Homo sapiens,Italy,Apr-2016
KR872956.1,Zika virus,genomic RNA,,,Homo sapiens,Brazil,2015
KU820897.5,Zika virus,genomic RNA,FLR,serum,Homo sapiens,Colombia: Barranquilla,Dec-2015
KX830960.1,Zika virus,genomic RNA,MR776,,sentinel rhesus,,
KX811222.1,Zika virus,genomic RNA,Brazil_2015_MG,,,Brazil: Fortaleza,14-Jun-2016
KX827309.1,Zika virus,genomic RNA,ZKA-16-291,urine,Homo sapiens,Singapore,28-Aug-2016
KX197205.1,Zika virus,genomic RNA,9,,Homo sapiens,Brazil,01-Dec-2015
KX813683.1,Zika virus,genomic RNA,ZKA-16-097,urine,Homo sapiens,Singapore,27-Aug-2016
KJ776791.2,Zika virus,genomic RNA,,Vero cells,Homo sapiens,French Polynesia,28-Nov-2013
KX766029.1,Zika virus,genomic RNA,R116265,,Homo sapiens,Mexico,23-Jun-2016
KX766028.1,Zika virus,genomic RNA,R114916,,Homo sapiens,Dominican Republic,06-Jun-2016
KX673530.1,Zika virus,genomic RNA,PHE_semen_Guadeloupe,semen,,United Kingdom,21-Apr-2016
KX266255.1,Zika virus,genomic RNA,ZIKV_SMGC-1,serum,Homo sapiens,China,14-Feb-2016
KX520666.1,Zika virus,genomic RNA,HS-2015-BA-01,"blood from patient with cutaneous rash, muscular pain, and low grade fever for three days",Homo sapiens; female,"Brazil: Salvadore, Bahia",Aug-2015
KX601169.1,Zika virus,genomic RNA,,,Macaca mulatta,Uganda: Entebbe,20-Apr-1947
KX601168.1,Zika virus,genomic RNA,,,Homo sapiens,Puerto Rico,01-Dec-2015
KX601167.1,Zika virus,genomic RNA,,,Aedes sp.,Malaysia,14-Jul-1966
KX548902.1,Zika virus,genomic RNA,ZIKV/COL/FCC00093/2015,culture supernatant of serum sample,Homo sapiens,Colombia,07-Oct-2015
KU707826.1,Zika virus,genomic RNA,SSABR1,serum,Homo sapiens,Brazil,01-Jul-2015
KX369547.1,Zika virus,genomic RNA,,serum,Homo sapiens,French Polynesia,25-Oct-2013
KX377337.1,Zika virus,genomic RNA,,,Homo sapiens,Puerto Rico,Dec-2015
KX377335.1,Zika virus,genomic RNA,,,Macaca mulatta (monkey),Uganda,Apr-1947
KU866423.2,Zika virus,genomic RNA,Zika virus/SZ01/2016/China,serum,Homo sapiens,China: Shenzhen,2016
KU647676.1,Zika virus,genomic RNA,,,Homo sapiens,Martinique,Dec-2015
KU758877.1,Zika virus,genomic RNA,17271,urine,Homo sapiens,French Guiana,Dec-2015
KU955595.1,Zika virus,genomic RNA,Zika virus/A.taylori-tc/SEN/1984/41671-DAK,,Aedes taylori,Senegal,14-Dec-1984
KU955594.1,Zika virus,genomic RNA,Zika virus/M.mulatta-tc/UGA/1947/MR-766,,Macaca mulatta,Uganda,Apr-1947
KU955593.1,Zika virus,genomic RNA,Zika virus/H.sapiens-tc/KHM/2010/FSS13025,,Homo sapiens,Cambodia,2010
KU955592.1,Zika virus,genomic RNA,Zika virus/A.taylori-tc/SEN/1984/41662-DAK,,Aedes taylori,Senegal,06-Dec-1984
KU955591.1,Zika virus,genomic RNA,Zika virus/A.africanus-tc/SEN/1984/41525-DAK,,Aedes africanus,Senegal,20-Nov-1984
KU681082.3,Zika virus,genomic RNA,Zika virus/H.sapiens-tc/PHL/2012/CPC-0740,,Homo sapiens,Philippines,09-May-2012
KU681081.3,Zika virus,genomic RNA,Zika virus/H.sapiens-tc/THA/2014/SV0127- 14,,Homo sapiens,Thailand,19-Jul-2014
KX262887.1,Zika virus,genomic RNA,103451,,Homo sapiens,Honduras,06-Jan-2016
KX253996.1,Zika virus,genomic RNA,ZKC2/2016,,Homo sapiens,China,16-Feb-2016
KX247646.1,Zika virus,viral cRNA,Zika virus/Homo sapiens/COL/UF-1/2016,"blood, saliva, and urine",Homo sapiens,Colombia,09-Feb-2016
KX185891.1,Zika virus,genomic RNA,Zika virus/CN/SZ02/2016,,Homo sapiens,China: Shenzhen,17-Feb-2016
KU744693.1,Zika virus,genomic RNA,VE_Ganxian,serum,Homo sapiens,China,06-Feb-2016
KU937936.1,Zika virus,genomic RNA,ZIKVNL00013,,Homo sapiens,Suriname,11-Feb-2016
KU509998.3,Zika virus,genomic RNA,,plasma,Homo sapiens,Haiti,12-Dec-2014
KX117076.1,Zika virus,genomic RNA,Zhejiang04,,Homo sapiens,China,17-Feb-2016
KX056898.1,Zika virus,genomic RNA,Zika virus/GZ02/2016,serum,Homo sapiens,China,25-Feb-2016
KU955590.1,Zika virus,genomic RNA,Z16019,serum,Homo sapiens,China,26-Feb-2016
KU955589.1,Zika virus,genomic RNA,Z16006,serum,Homo sapiens,China,16-Feb-2016
KU963796.1,Zika virus,genomic RNA,SZ-WIV01,serum,Homo sapiens,China: Shenzhen,2016
KU321639.1,Zika virus,genomic RNA,,,Homo sapiens,Brazil,Mar-2015
KU991811.1,Zika virus,genomic RNA,Brazil/2016/INMI1,,Homo sapiens,Italy: Rome,06-Mar-2016
KU922923.1,Zika virus,genomic RNA,MEX/InDRE/Lm/2016,cerebrospinal fluid,Homo sapiens,Mexico: Chiapas,25-Feb-2016
KU820898.1,Zika virus,genomic RNA,GZ01,urine,Homo sapiens,China,14-Feb-2016
KU740184.2,Zika virus,genomic RNA,GD01,,Homo sapiens,China,Feb-2016
KU853013.1,Zika virus,genomic RNA,Dominican Republic/2016/PD2,,Homo sapiens,Italy: Padua,01-Feb-2016
KU853012.1,Zika virus,genomic RNA,Dominican Republic/2016/PD1,urine,Homo sapiens,Italy: Padua,01-Feb-2016
KU820899.2,Zika virus,genomic RNA,ZJ03,,Homo sapiens,China,17-Feb-2016
KU729217.2,Zika virus,genomic RNA,BeH823339,,Homo sapiens,Brazil,2015
KU761564.1,Zika virus,genomic RNA,GDZ16001,saliva,Homo sapiens,China,12-Feb-2016
KU720415.1,Zika virus,genomic RNA,,,,Uganda,1947
KU497555.1,Zika virus,genomic RNA,Brazil-ZKV2015,anminiotic liquid,Homo sapiens,Brazil,30-Nov-2015
KU501217.1,Zika virus,genomic RNA,,,Homo sapiens,Guatemala,01-Nov-2015
KU501216.1,Zika virus,genomic RNA,,,Homo sapiens,Guatemala,01-Dec-2015
KU501215.1,Zika virus,genomic RNA,,,Homo sapiens,Puerto Rico,01-Dec-2015
KU312312.1,Zika virus,genomic RNA,Z1106033,serum,Homo sapiens,Suriname,02-Oct-2015
KF268950.1,Zika virus,genomic RNA,ARB7701,,Aedes africanus,Central African Republic,
KF268949.1,Zika virus,genomic RNA,ARB15076,,Aedes opok,Central African Republic,
KF268948.1,Zika virus,genomic RNA,ARB13565,,Aedes africanus,Central African Republic,1976
KF383119.1,Zika virus,genomic RNA,,,,,
KF383118.1,Zika virus,genomic RNA,,,,,
KF383117.1,Zika virus,genomic RNA,,,,,
KF383116.1,Zika virus,genomic RNA,,,,,
KF383115.1,Zika virus,genomic RNA,,,,,
